IdPedido,FechaEstimada,MontoCompra,DNICliente,NombreCliente,mailCliente,idProducto,DescripcionProducto
000037,2018-09-15,5.799.00,25908765,Alverto Cochambre,alver1994@hotmail.com,6456S847HH746,Reproductor Blu-ray Sony Bdp-s6700/bmar2
000038,2018-09-15,7.998.00,25000987,Maria Rosa Paz,mari_paz@hotmail.com,S84798437NB88,Minicomponente Con Bluetooth Cmt-sbt20 Sony Store
000039,2018-09-15,7.899.00,23559866,Ernesto Gerez,egerez_1990@yahoo.com,G746HYT86436,Combo Guitarra Electrica + Amplificador 10w + Accesorios
000040,2018-09-15,15.430.00,24000003,Marcos Quaglia,mquaglia@hotmail.com,74667YYTU7564,Uni-t Osciloscopio Digital Utd2052cex 50mhz 1gsa
000041,2018-09-15,29.141.56,23008876,Luis Burgues,luchoburgues@hotmail.com,646FL8476U6,Multímetro Digital Fluke 77- Iv . Amarillo
000042,2018-09-15,16.959.80,22304958,Miguel Cienfuentes,mcienfuentes@yahoo.com,6477YTR645,Piso Flotante Pvc Dry Backing Simil Madera 2mm Alto Transito
000043,2018-09-15,2.198.00,23658402,Daniela Fernandez,danifernandez@hotmail.com,CH643556S77,Cartera Clasica Chnl Negra Cadenas Doradas. Chica
000044,2018-09-15,12.500.00,21054546,Miguel Pressa,miguelpressa1969@yahoo.com,PC6457673TT76,Trajes Importados Hombre Pierre Cardin Slim Fit
000045,2018-09-15,2.800.00,22009908,Clara Esperanza,clarita1974@gmail.com,7357LV736H55,Billetera Louis Vuitton
000046,2018-09-15,5.300.00,23054843,Elena Maidanskaia,elena_1989@hotmail.com,YT746684994,Vestido Fiesta Largo Madrina Fiesta Gala Azul Importado
000047,2018-09-15,220.00,24921065,Pedro Calvo,pcalvo@hotmail.com,NY74663783,Peluca Dracula Hombre Vampiro Style
000048,2018-09-15,999.99,24921065,Pedro Calvo,pcalvo@hotmail.com,CD646738738,Disfraz El Conde Dracula
000049,2018-09-15,2.999.00,26983205,Jonatan Dominguez,jdominguez@hotmail.com,RR6467348TT73,Campera Babolat De Abrigo Ultra Liviana New2018 - Raqueton
000050,2018-09-15,5.750.00,25986666,Mara Estuardo,maraestuardo@gmail.com,KP8477849SR64,Pack Saga Harry Potter Completa: Libros 1 A 8 - J K Rowling
000051,2018-09-15,13.699.00,25666666,Martin Crinisky,mcrinisky@yahoo.com,TH645656RG5,Batería Acústica Completa Power M Jbp0901 Fierros Platillos
